Name,Symbol,Price Usd,Volume24h,Volume30d,MarketCap,Dominance,YtdPriceChangePercentage,cmcRank,marketPairCount,circulatingSupply,totalSupply
Bitcoin,BTC,24620.84947,37459153347,4.82227E+11,4.74999E+11,42.6334,48.0946,1,9982,19292556,19292556
Ethereum,ETH,1688.699934,12431615394,1.504E+11,2.06653E+11,18.5435,40.6119,2,6463,122373866.2,122373866.2
Tether,USDT,1.000223144,52447341923,6.49109E+11,69801303311,6.266,0.0531,3,47649,69785731025,73141766321
BNB,BNB,321.785343,955695598.3,10561929866,50809312487,4.5601,31.8052,4,1190,157898156.6,159979963.6
USD Coin,USDC,1.000039416,5046872423,77705985291,41513026787,3.7254,0.0046,5,10109,41511390556,41511390556
XRP,XRP,0.401426537,1159215129,12339102008,20392100703,1.8302,18.4976,6,886,50799084881,99989130718
Cardano,ADA,0.407775465,559953796.7,11239774454,14123041912,1.2678,63.26,7,649,34634359124,35485065065
Binance USD,BUSD,0.999961022,11867221427,1.78076E+11,14071111424,1.2632,-0.0379,8,6211,14071659914,14071659914
Polygon,MATIC,1.380638038,862113000.5,12738190941,12058930939,1.0822,81.6694,9,587,8734317475,10000000000
Dogecoin,DOGE,0.089402179,704698964.4,7068679873,11861055446,1.0644,27.3088,10,644,1.32671E+11,1.32671E+11
Solana,SOL,23.82626853,905729756.2,29522422060,8972751593,0.8051,138.6882,11,433,376590718.8,539312704.9
Polkadot,DOT,6.609246777,371367120.2,3850847887,7648957508,0.6865,51.2131,12,467,1157311531,1283735202
Shiba Inu,SHIB,1.38E-05,514081786.8,8933358196,7554317650,0.6781,69.3605,13,487,5.49063E+14,5.89735E+14
Litecoin,LTC,101.6457435,807312345.5,11353868905,7348171859,0.6594,43.5357,14,873,72291978.04,84000000
TRON,TRX,0.07087684,381273020.3,5425114552,6492648285,0.5826,29.2909,15,725,91604652256,91604808221
Avalanche,AVAX,19.88142252,327432552.4,10699182927,6265146538,0.5623,82.9705,16,375,315125667.2,420531657.2
Uniswap,UNI,6.843141369,136391942.7,1536598922,5215906174,0.4682,30.4412,17,613,762209326.5,1000000000
Dai,DAI,0.999449393,248750797,3287114006,5198710083,0.4665,-0.034,18,1874,5201574106,5201574106
Wrapped Bitcoin,WBTC,24614.78926,279864221.3,3466654901,4337051072,0.3892,48.63,19,883,176196.9614,176196.9614
Cosmos,ATOM,14.13135726,218904695.4,3324178545,4046800976,0.3632,49.3096,20,397,286370297,0
Chainlink,LINK,7.307486893,480309861.6,10168031062,3712203126,0.3332,29.97,21,970,507999970.5,1000000000
UNUS SED LEO,LEO,3.337340078,2032879.054,48721492.29,3183669350,0.2857,-5.2942,22,23,953954130,985239504
Ethereum Classic,ETC,22.48256544,250937821.1,3791650992,3131401720,0.2811,42.5471,23,371,139281334.6,210700000
Monero,XMR,165.9004677,92730059.1,3007617339,3026194697,0.2717,11.6596,24,205,18241025.71,18241025.71
OKB,OKB,48.66171542,113680457,1424543232,2919702925,0.262,77.249,25,88,60000000,300000000
Toncoin,TON,2.365165147,28607362.03,814458468.6,2888815504,0.2592,2.5305,26,85,1221401181,5047558528
Aptos,APT,16.31670042,1008355876,23104234197,2653496161,0.2382,362.6673,27,154,162624556,1015668377
Bitcoin Cash,BCH,134.6115948,230836022.9,5253761891,2599778128,0.2333,38.8391,28,671,19313181.25,19313181.25
Hedera,HBAR,0.091765385,99297082.76,6879802130,2390623184,0.2145,140.9557,29,125,26051470159,50000000000
Stellar,XLM,0.090402964,87397512.71,1005203751,2381584149,0.2138,24.6519,30,478,26344093713,50001787455
Lido DAO,LDO,2.783903375,380896192.2,5651087962,2349040385,0.2108,157.731,31,154,843793791.8,1000000000
NEAR Protocol,NEAR,2.51771766,213923996.8,2391069605,2162038671,0.194,97.3413,32,219,858729597,1000000000
Filecoin,FIL,5.480600151,243589099.2,4536796776,2134768985,0.1916,76.1448,33,275,389513726,389513726
ApeCoin,APE,5.715417777,168700864.9,3518876721,2106667271,0.1891,47.9106,34,243,368593750,1000000000
Cronos,CRO,0.08101245,28469911.39,339252200,2046618630,0.1837,42.5509,35,179,25263013692,30263013692
Algorand,ALGO,0.274062195,136433851.6,1657364573,1966792909,0.1765,54.4308,36,281,7176447349,7398645507
VeChain,VET,0.025588064,73864110.14,1052170772,1855419846,0.1665,59.5503,37,212,72511146418,85985041177
Quant,QNT,144.7757797,45015176.88,541035391.6,1747840057,0.1569,36.8546,38,137,12072738,14612493.08
Internet Computer,ICP,6.018388861,54470302.3,763766517.2,1744449810,0.1566,49.8017,39,140,289853289.8,495789296.3
Fantom,FTM,0.576676646,659745606.9,19357323368,1601579204,0.1437,187.0262,40,419,2777256916,3175000000
The Graph,GRT,0.179091948,252478502.3,4782999574,1574105915,0.1413,216.8989,41,268,8789372883,10586216001
Decentraland,MANA,0.743155489,240024687.8,5409425955,1378616000,0.1237,146.5528,42,340,1855084192,2193539027
Aave,AAVE,88.98860798,132855153.6,7156601817,1254133590,0.1126,70.9812,43,501,14093192.58,16000000
BitDAO,BIT,0.594283299,16280151.6,453022811.3,1242614388,0.1115,78.5038,44,54,2090946169,10000000000
Axie Infinity,AXS,10.9957396,148387449.5,10218049757,1228801390,0.1103,74.151,45,292,111752500,270000000
Flow,FLOW,1.175899795,92423042.42,937675568,1218467367,0.1093,79.0072,46,117,1036200000,1414011748
EOS,EOS,1.11378671,150827318.4,2338215748,1204297189,0.1081,26.7905,47,509,1081263745,1082862642
The Sandbox,SAND,0.798155874,513650723.3,4355741613,1196810875,0.1074,105.2995,48,334,1499470108,3000000000
MultiversX,EGLD,47.2560458,41350136.44,565539245.1,1181672820,0.106,43.4146,49,139,25005749,25010901
