The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers
SGM,SGM,SGM,SGM,SGM,SGM,SGM,SGM,SGM,SGM,SGM,SGM,SGM,SGM,SGM
,,,,,,,,,,,,,,
CMO,CDO,COO,Executive Chairman & CEO,CIO,PRIME,CFO,CTO,CSO,CPO,CRO,CBO,GC,CLO,CS
SGM,SGM,Manusha Duwage,Jonathan B. Samuel,Sarra Hejazi,SGM,SGM,Dawn Varghese,Davis Dhana,Joseph Ferrino,SGM,SGM,Jincy Paul,SGM,SGM
Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC
Operators,SECTORS,TRADE DESK,CURRENCY,EQUITY INVESTMENT,CORPORATE STOCK,CLIENT OPTIONS,,,,,,,,
The Russian Federation,Sector,Desk,Allocation of $OID,10% Equity Compensation,$SGM : $OID,Vesting,SGM DEV POOL: 100T OID,SGM BROKER POOL : 1.50T OID,Samuel Global Management LLC Subsidiaries:,SGM'S Black List:,Ozhumanil Distributed Capital Market OMR:,The Orthodox Kingdom of Ozhumanil OGR:,The Sedition List:,Persona Non Grata:
SGM,Industrial Machinery,Yes,"$39,626,921,183.05",,$SGM : $OID,Stock,,SAMUEL GLOBAL MANAGEMENT LLC PRIME BROKERS:,SGM Media : $SGM : $OID,Earl's Restaurant,State of Israel,State of Israel,State of Israel,State of Israel
Rebecca Eskova,Materials Science,Yes,"$35,000,000,000.00","6,000,000,000.00",$SGM : $OID,Cash-Grow,ESOP: 850T SGM,SGM BROKER POOL : 1.50T OID,SGM Talent : $SGM : $OID,,Benjamin Netanyahu,Benjamin Netanyahu ,Benjamin Netanyahu,Benjamin Netanyahu
Republika e Shqiperise (The Republic of Albania),,,,,$SGM : $OID,Active-Funds,,SGM BROKER POOL : 1.50T OID,SGM Commerce : $SGM : $OID,,Tel Aviv Stock Exchange,Tel Aviv Stock Exchange,Tel Aviv Stock Exchange,Tel Aviv Stock Exchange
SGM,Composite Materials,Yes,"$1,344,206,498.76",,$SGM : $OID,Investments,,SGM BROKER POOL : 1.50T OID,SGM Defense : $SGM : OID,,Bank of Israel,Bank of Israel,Bank of Israel,Bank of Israel
Daniel Masmalaj,Construction,Yes,"$20,344,206,498.76",,$SGM : $OID,Trade %$,,SGM BROKER POOL : 1.50T OID,SGM Technology : $SGM : $OID,,Knesset,Knesset,Knesset,Knesset
Davis Dhana,Industrials,Yes,"$21,688,412,997.52",,$SGM : $OID,Yield Farms,,SGM BROKER POOL : 1.50T OID,SGM Trade : $SGM : $OID,,Beit haMishpat haElyon,Beit haMishpat haElyon,Beit haMishpat haElyon,Beit haMishpat haElyon
Medi Karame,Defense,Yes,"$30,000,000,000.00","7,500,000,000.00",$SGM : $OID,Block Trades,,Farah Khoulani,SGM Brokerage : $SGM : $OID,,,,,
The French Republic,,,,,$SGM : $OID,,,Rebecca Eskova,SGM Films : $SGM : $OID,,,,,
Capucine Alize,Media,Yes,"$1,000,000,000.00",,$SGM : $OID,,,,SGM Production : $SGM : $OID,,,,,
SGM,Commercial Real Estate,Yes,"$30,000,000,000.00","4,500,000,000.00",$SGM : $OID,,,,SGM Energy : $SGM : $OID,,,,,
The Italian Republic,,,,,$SGM : $OID,,,,SGM Health Care : $SGM : $OID,,,,,
SGM,Biomedical Sciences,Yes,"$27,050,360,586.50",,$SGM : $OID,,,,SGM Information Technology : $SGM : $OID,,,,,
SGM,Biomedical Engineering,Yes,"$30,000,000,000.00","6,000,000,000.00",$SGM : $OID,,,,SGM Consumer : $SGM : $OID,,,,,
The Republic of Indonesia,,,,,$SGM : $OID,,,,SGM Materials : $SGM : $OID,,,,,
Alissa George,Genetic Research,Yes,"$32,439,922,425.35","6,000,000,000.00",$SGM : $OID,,,,SGM Industrials : $SGM : $OID,,,,,
Ansil Abraham,Pharmaceuticals,Yes,"$35,000,000,000.00",,$SGM : $OID,,,,SGM Utilities : $SGM : $OID,,,,,
The Republic of Chile,,,,,$SGM : $OID,,,,SGM Communication : $SGM : $OID,,,,,
SGM,Commodities Trades,Yes,"$22,080,385,424.72",,$SGM : $OID,,,,SGM Real Estate : $SGM : $OID,,,,,
Camila Suarez,Agricultural Engineering,Yes,"$25,000,000,000.00","4,500,000,000.00",$SGM : $OID,,,,SGM DLT : $SGM : $OID,,,,,
Bharat Ganarajya ( The Republic of India),,,,,$SGM : $OID,,,,SGM TREASURY : $OID,,,,,
Jeeva Jacob,Transcendental Medicine,Yes,,,$SGM : $OID,,,,SGM PRIVATE RESERVE : $OID,,,,,
Jan Jacob,Agricultural Robotics,Yes,"$32,227,334,720.01",,$SGM : $OID,,,,,,,,,
Sam Sailesh,Biomedical Engineering,Yes,"$40,000,000,000.00","7,500,000,000.00",$SGM : $OID,,,,,,,,,
SGM,Financial Engineering,Yes,,,$SGM : $OID,,,,,,,,,
The Republic of Eire,,,,,$SGM : $OID,,,,,,,,,
SGM,Defense R&D,Yes,"$25,179,329,723.05",,$SGM : $OID,,,,,,,,,
SGM,Food & Beverage,Yes,"$25,000,000,000.00","6,000,000,000.00",$SGM : $OID,,,,,,,,,
The Federal Republic of Nigeria,,,,,$SGM : $OID,,,,,,,,,
SGM,Petrochemicals/Polymers,Yes,"$31,321,555,122.58",,$SGM : $OID,,,,,,,,,
SGM,Medical Technology,Yes,"$30,000,000,000.00","9,000,000,000.00",$SGM : $OID,,,,,,,,,
The Republic of Armenia,,,,,$SGM : $OID,,,,,,,,,
SGM,Pharmaceutical Development,Yes,"$30,042,984,774.56",,$SGM : $OID,,,,,,,,,
SGM,Composite Materials,Yes,"$25,000,000,000.00","4,500,000,000.00",$SGM : $OID,,,,,,,,,
Daehan Minguk (The Republic of Korea),,,,,$SGM : $OID,,,,,,,,,
SGM,Material Sciences,Yes,"$23,251,927,627.79",,$SGM : $OID,,,,,,,,,
SGM,Waste Engineering,Yes,"$27,500,000,000.00","4,500,000,000.00",$SGM : $OID,,,,,,,,,
SGM,Applied Mathematics,Yes,,,$SGM : $OID,,,,,,,,,
The Kingdom of Morocco,,,,,$SGM : $OID,,,,,,,,,
SGM,Petrochemcials,Yes,"$45,362,293,087.78",,$SGM : $OID,,,,,,,,,
