Timestamp,Date,Measure,TBILL,MPLcashUSDC-SPL,bIBTA,bIB01,TBONDS13,TBONDS01,STBT,USTY,USYC,RCOIN,OUSG,USDY,FOBXX,WTSYX,tfBill,FLTTX,WTSTX,WTLGX,WTTSX,TIPSX,WTGXX,USTB,BUIDL,TBV,XTBT,mTBILL,bZPR1,USFR.d
1632182400000,2021-09-21,Circulating Asset Value (Dollar),,,,,,,,,,131630.00,,,,,,,,,,,,,,,,,,
1632268800000,2021-09-22,Circulating Asset Value (Dollar),,,,,,,,,,131630.00,,,,,,,,,,,,,,,,,,
1632355200000,2021-09-23,Circulating Asset Value (Dollar),,,,,,,,,,131630.00,,,,,,,,,,,,,,,,,,
1632441600000,2021-09-24,Circulating Asset Value (Dollar),,,,,,,,,,131630.00,,,,,,,,,,,,,,,,,,
1632528000000,2021-09-25,Circulating Asset Value (Dollar),,,,,,,,,,131630.00,,,,,,,,,,,,,,,,,,
1632614400000,2021-09-26,Circulating Asset Value (Dollar),,,,,,,,,,131630.00,,,,,,,,,,,,,,,,,,
1632700800000,2021-09-27,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1632787200000,2021-09-28,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1632873600000,2021-09-29,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1632960000000,2021-09-30,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1633046400000,2021-10-01,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1633132800000,2021-10-02,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1633219200000,2021-10-03,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1633305600000,2021-10-04,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1633392000000,2021-10-05,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1633478400000,2021-10-06,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1633564800000,2021-10-07,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1633651200000,2021-10-08,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1633737600000,2021-10-09,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1633824000000,2021-10-10,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1633910400000,2021-10-11,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1633996800000,2021-10-12,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1634083200000,2021-10-13,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1634169600000,2021-10-14,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1634256000000,2021-10-15,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1634342400000,2021-10-16,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1634428800000,2021-10-17,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1634515200000,2021-10-18,Circulating Asset Value (Dollar),,,,,,,,,,132630.00,,,,,,,,,,,,,,,,,,
1634601600000,2021-10-19,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1634688000000,2021-10-20,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1634774400000,2021-10-21,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1634860800000,2021-10-22,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1634947200000,2021-10-23,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1635033600000,2021-10-24,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1635120000000,2021-10-25,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1635206400000,2021-10-26,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1635292800000,2021-10-27,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1635379200000,2021-10-28,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1635465600000,2021-10-29,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1635552000000,2021-10-30,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1635638400000,2021-10-31,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1635724800000,2021-11-01,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1635811200000,2021-11-02,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1635897600000,2021-11-03,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1635984000000,2021-11-04,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1636070400000,2021-11-05,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1636156800000,2021-11-06,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1636243200000,2021-11-07,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1636329600000,2021-11-08,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1636416000000,2021-11-09,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1636502400000,2021-11-10,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1636588800000,2021-11-11,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1636675200000,2021-11-12,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1636761600000,2021-11-13,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1636848000000,2021-11-14,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1636934400000,2021-11-15,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1637020800000,2021-11-16,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1637107200000,2021-11-17,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1637193600000,2021-11-18,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1637280000000,2021-11-19,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1637366400000,2021-11-20,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1637452800000,2021-11-21,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1637539200000,2021-11-22,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1637625600000,2021-11-23,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1637712000000,2021-11-24,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1637798400000,2021-11-25,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1637884800000,2021-11-26,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1637971200000,2021-11-27,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1638057600000,2021-11-28,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1638144000000,2021-11-29,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1638230400000,2021-11-30,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1638316800000,2021-12-01,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1638403200000,2021-12-02,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1638489600000,2021-12-03,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1638576000000,2021-12-04,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1638662400000,2021-12-05,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1638748800000,2021-12-06,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1638835200000,2021-12-07,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1638921600000,2021-12-08,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1639008000000,2021-12-09,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1639094400000,2021-12-10,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1639180800000,2021-12-11,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1639267200000,2021-12-12,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1639353600000,2021-12-13,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1639440000000,2021-12-14,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1639526400000,2021-12-15,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1639612800000,2021-12-16,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1639699200000,2021-12-17,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1639785600000,2021-12-18,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1639872000000,2021-12-19,Circulating Asset Value (Dollar),,,,,,,,,,123346.00,,,,,,,,,,,,,,,,,,
1639958400000,2021-12-20,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1640044800000,2021-12-21,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1640131200000,2021-12-22,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1640217600000,2021-12-23,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1640304000000,2021-12-24,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1640390400000,2021-12-25,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1640476800000,2021-12-26,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1640563200000,2021-12-27,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1640649600000,2021-12-28,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1640736000000,2021-12-29,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1640822400000,2021-12-30,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1640908800000,2021-12-31,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1640995200000,2022-01-01,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1641081600000,2022-01-02,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1641168000000,2022-01-03,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1641254400000,2022-01-04,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1641340800000,2022-01-05,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1641427200000,2022-01-06,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1641513600000,2022-01-07,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1641600000000,2022-01-08,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1641686400000,2022-01-09,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1641772800000,2022-01-10,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1641859200000,2022-01-11,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1641945600000,2022-01-12,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1642032000000,2022-01-13,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1642118400000,2022-01-14,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1642204800000,2022-01-15,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1642291200000,2022-01-16,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1642377600000,2022-01-17,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1642464000000,2022-01-18,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1642550400000,2022-01-19,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1642636800000,2022-01-20,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1642723200000,2022-01-21,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1642809600000,2022-01-22,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1642896000000,2022-01-23,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1642982400000,2022-01-24,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1643068800000,2022-01-25,Circulating Asset Value (Dollar),,,,,,,,,,116630.00,,,,,,,,,,,,,,,,,,
1643155200000,2022-01-26,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,,,,,,,,,,,,,,,,
1643241600000,2022-01-27,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,,,,,,,,,,,,,,,,
1643328000000,2022-01-28,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,,,,,,,,,,,,,,,,
1643414400000,2022-01-29,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,,,,,,,,,,,,,,,,
1643500800000,2022-01-30,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,,,,,,,,,,,,,,,,
1643587200000,2022-01-31,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,,,,,,,,,,,,,,,,
1643673600000,2022-02-01,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,,,,,,,,,,,,,,,,
1643760000000,2022-02-02,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,,,,,,,,,,,,,,,,
1643846400000,2022-02-03,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,,,,,,,,,,,,,,,,
1643932800000,2022-02-04,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,,,,,,,,,,,,,,,,
1644019200000,2022-02-05,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,,,,,,,,,,,,,,,,
1644105600000,2022-02-06,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,,,,,,,,,,,,,,,,
1644192000000,2022-02-07,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2092269.79,,,,,,,,,,,,,,,
1644278400000,2022-02-08,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2092270.36,,,,,,,,,,,,,,,
1644364800000,2022-02-09,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2092681.48,,,,,,,,,,,,,,,
1644451200000,2022-02-10,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2093890.50,,,,,,,,,,,,,,,
1644537600000,2022-02-11,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2093898.21,,,,,,,,,,,,,,,
1644624000000,2022-02-12,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2093898.21,,,,,,,,,,,,,,,
1644710400000,2022-02-13,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2093898.21,,,,,,,,,,,,,,,
1644796800000,2022-02-14,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2094065.23,,,,,,,,,,,,,,,
1644883200000,2022-02-15,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2094532.80,,,,,,,,,,,,,,,
1644969600000,2022-02-16,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2094492.87,,,,,,,,,,,,,,,
1645056000000,2022-02-17,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2094577.16,,,,,,,,,,,,,,,
1645142400000,2022-02-18,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2044479.44,,,,,,,,,,,,,,,
1645228800000,2022-02-19,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2044479.44,,,,,,,,,,,,,,,
1645315200000,2022-02-20,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2044479.44,,,,,,,,,,,,,,,
1645401600000,2022-02-21,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2044479.44,,,,,,,,,,,,,,,
1645488000000,2022-02-22,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2045003.00,,,,,,,,,,,,,,,
1645574400000,2022-02-23,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2048009.56,,,,,,,,,,,,,,,
1645660800000,2022-02-24,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2048110.11,,,,,,,,,,,,,,,
1645747200000,2022-02-25,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2054278.79,,,,,,,,,,,,,,,
1645833600000,2022-02-26,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2054278.79,,,,,,,,,,,,,,,
1645920000000,2022-02-27,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2054278.79,,,,,,,,,,,,,,,
1646006400000,2022-02-28,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2186461.59,,,,,,,,,,,,,,,
1646092800000,2022-03-01,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2186663.69,,,,,,,,,,,,,,,
1646179200000,2022-03-02,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2186654.29,,,,,,,,,,,,,,,
1646265600000,2022-03-03,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2187574.89,,,,,,,,,,,,,,,
1646352000000,2022-03-04,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2054516.47,,,,,,,,,,,,,,,
1646438400000,2022-03-05,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2054516.47,,,,,,,,,,,,,,,
1646524800000,2022-03-06,Circulating Asset Value (Dollar),,,,,,,,,,366630.00,,,2054516.47,,,,,,,,,,,,,,,
